,Target,Model,Train Accuracy,Train F1-Score,CV Accuracy,CV F1-Score,Test Accuracy,Test F1-Score,,,,,,,
0,Herbs and spices,RandomForest,0.997214485,0.997212196,0.657511737,0.650989014,0.7,0.697142857,,0.997,0.997,0.658,0.651,0.7,0.697
1,Herbs and spices,XGBoost,0.997214485,0.997212196,0.626838811,0.620869074,0.711111111,0.7075755,,0.997,0.997,0.627,0.621,0.711,0.708
2,Herbs and spices,CatBoost,0.91086351,0.908357545,0.691001565,0.678363882,0.7,0.690951821,,0.911,0.908,0.691,0.678,0.7,0.691
3,Herbs and spices,MLP,0.754874652,0.732721371,0.693701095,0.666249221,0.622222222,0.596197072,,0.755,0.733,0.694,0.666,0.622,0.596
4,Tobacco/Smoke,RandomForest,0.997214485,0.997199477,0.852347418,0.815206746,0.922222222,0.91891698,,0.997,0.997,0.852,0.815,0.922,0.919
5,Tobacco/Smoke,XGBoost,0.997214485,0.997199477,0.855203443,0.824241497,0.944444444,0.925406001,,0.997,0.997,0.855,0.824,0.944,0.925
6,Tobacco/Smoke,CatBoost,0.947075209,0.939862098,0.860719875,0.819717502,0.933333333,0.901149425,,0.947,0.94,0.861,0.82,0.933,0.901
7,Tobacco/Smoke,MLP,0.885793872,0.832149044,0.885837246,0.832615846,0.933333333,0.901149425,,0.886,0.832,0.886,0.833,0.933,0.901
8,Wood,RandomForest,0.997214485,0.997204232,0.807902973,0.762689085,0.777777778,0.716915995,,0.997,0.997,0.808,0.763,0.778,0.717
9,Wood,XGBoost,0.997214485,0.997204232,0.782824726,0.758207867,0.755555556,0.703846154,,0.997,0.997,0.783,0.758,0.756,0.704
10,Wood,CatBoost,0.927576602,0.9181186,0.821791862,0.762030231,0.788888889,0.723450135,,0.928,0.918,0.822,0.762,0.789,0.723
11,Wood,MLP,0.846796657,0.779256579,0.841314554,0.771917569,0.788888889,0.705590062,,0.847,0.779,0.841,0.772,0.789,0.706
12,Berries,RandomForest,1,1,0.72143975,0.722343484,0.7,0.698524776,,1,1,0.721,0.722,0.7,0.699
13,Berries,XGBoost,1,1,0.738106416,0.73907841,0.633333333,0.63282784,,1,1,0.738,0.739,0.633,0.633
14,Berries,CatBoost,0.944289694,0.944181102,0.724295775,0.724425485,0.688888889,0.68668466,,0.944,0.944,0.724,0.724,0.689,0.687
15,Berries,MLP,0.766016713,0.763526666,0.657355243,0.655543187,0.655555556,0.655938319,,0.766,0.764,0.657,0.656,0.656,0.656
16,Citrus,RandomForest,1,1,0.766118936,0.749390708,0.722222222,0.695950557,,1,1,0.766,0.749,0.722,0.696
17,Citrus,XGBoost,1,1,0.749530516,0.737721297,0.744444444,0.726094419,,1,1,0.75,0.738,0.744,0.726
18,Citrus,CatBoost,0.961002786,0.959663515,0.782824726,0.761179661,0.7,0.644729064,,0.961,0.96,0.783,0.761,0.7,0.645
19,Citrus,MLP,0.802228412,0.772263441,0.77456964,0.733648341,0.677777778,0.63892829,,0.802,0.772,0.775,0.734,0.678,0.639
20,Fruits,RandomForest,1,1,0.696205008,0.687443448,0.688888889,0.697138047,,1,1,0.696,0.687,0.689,0.697
21,Fruits,XGBoost,1,1,0.649021909,0.643897972,0.655555556,0.666555884,,1,1,0.649,0.644,0.656,0.667
22,Fruits,CatBoost,0.91086351,0.908517897,0.710172144,0.697227836,0.711111111,0.711111111,,0.911,0.909,0.71,0.697,0.711,0.711
23,Fruits,MLP,0.752089136,0.725894178,0.665571205,0.628278247,0.722222222,0.709341092,,0.752,0.726,0.666,0.628,0.722,0.709
24,Nuts,RandomForest,0.997214485,0.997186927,0.91928795,0.89732135,0.866666667,0.825396825,,0.997,0.997,0.919,0.897,0.867,0.825
25,Nuts,XGBoost,0.997214485,0.997186927,0.913693271,0.893808433,0.855555556,0.819693945,,0.997,0.997,0.914,0.894,0.856,0.82
26,Nuts,CatBoost,0.980501393,0.978937683,0.927621283,0.898199981,0.877777778,0.831032216,,0.981,0.979,0.928,0.898,0.878,0.831
27,Nuts,MLP,0.933147632,0.900877397,0.933176839,0.900992573,0.888888889,0.836601307,,0.933,0.901,0.933,0.901,0.889,0.837
28,Coffee,RandomForest,0.997214485,0.997178888,0.935954617,0.919411793,0.944444444,0.928253968,,0.997,0.997,0.936,0.919,0.944,0.928
29,Coffee,XGBoost,0.997214485,0.997178888,0.930359937,0.912879985,0.966666667,0.956952381,,0.997,0.997,0.93,0.913,0.967,0.957
30,Coffee,CatBoost,0.977715877,0.97487422,0.94428795,0.919950582,0.955555556,0.933838384,,0.978,0.975,0.944,0.92,0.956,0.934
31,Coffee,MLP,0.95264624,0.934056726,0.94428795,0.923626002,0.955555556,0.933838384,,0.953,0.934,0.944,0.924,0.956,0.934
32,Chocolate/Cacao,RandomForest,1,1,0.882981221,0.851308052,0.888888889,0.859820233,,1,1,0.883,0.851,0.889,0.86
33,Chocolate/Cacao,XGBoost,1,1,0.882981221,0.858101301,0.877777778,0.838763499,,1,1,0.883,0.858,0.878,0.839
34,Chocolate/Cacao,CatBoost,0.961002786,0.956709832,0.891353678,0.856536737,0.877777778,0.838763499,,0.961,0.957,0.891,0.857,0.878,0.839
35,Chocolate/Cacao,MLP,0.902506964,0.85890072,0.891353678,0.848164199,0.877777778,0.820644313,,0.903,0.859,0.891,0.848,0.878,0.821
36,Flowers,RandomForest,1,1,0.749530516,0.738332168,0.633333333,0.634676435,,1,1,0.75,0.738,0.633,0.635
37,Flowers,XGBoost,1,1,0.707824726,0.704842502,0.655555556,0.654179486,,1,1,0.708,0.705,0.656,0.654
38,Flowers,CatBoost,0.938718663,0.937346244,0.755203443,0.744099605,0.655555556,0.654179486,,0.939,0.937,0.755,0.744,0.656,0.654
39,Flowers,MLP,0.768802228,0.746363583,0.705007825,0.675674092,0.677777778,0.651022139,,0.769,0.746,0.705,0.676,0.678,0.651 
