split,pass_id,loss,acc,auc_Herbs and spices,auc_Tobacco/Smoke,auc_Wood,auc_Berries,auc_Citrus,auc_Fruits,auc_Nuts,auc_Coffee,auc_Chocolate/Cacao,auc_Flowers
CV,0,0.5490262905756632,0.6489583333333334,0.6433081030845642,0.5246753096580505,0.5323232412338257,0.7810975313186646,0.7920634746551514,0.6034964919090271,0.6088888645172119,0.37337663769721985,0.6428571343421936,0.6922580599784851
CV,1,0.5565653642018636,0.6310661764705882,0.5928030014038086,0.5350649356842041,0.5696969628334045,0.7335366010665894,0.7650793790817261,0.5783216953277588,0.7022222280502319,0.3538961112499237,0.6233766078948975,0.7180644869804382
CV,2,0.5516397655010223,0.6398897058823529,0.6306818127632141,0.5233766436576843,0.6111111044883728,0.7042682766914368,0.7404761910438538,0.6118881106376648,0.644444465637207,0.3961038887500763,0.633766233921051,0.7025806307792664
CV,3,0.5473827421665192,0.6422794117647058,0.6073232293128967,0.5311688184738159,0.5707070827484131,0.747560977935791,0.7801587581634521,0.5888111591339111,0.5955555438995361,0.40584415197372437,0.633766233921051,0.7387096881866455
CV,4,0.5658160845438639,0.643811274509804,0.6565656661987305,0.5623376369476318,0.5555555820465088,0.7207317352294922,0.7587301731109619,0.5993006825447083,0.602222204208374,0.37987011671066284,0.6298701167106628,0.6980645060539246
CV,5,0.5551821887493134,0.626593137254902,0.6584596037864685,0.5285714268684387,0.5707070827484131,0.7408536672592163,0.7722222208976746,0.5657342672348022,0.5799999833106995,0.4188311696052551,0.6142857074737549,0.689032256603241
CV,6,0.5587800045808157,0.6352328431372549,0.6010100841522217,0.5532467365264893,0.5050504803657532,0.7817073464393616,0.7658730149269104,0.5944055914878845,0.5377777814865112,0.3928571343421936,0.6298701167106628,0.6922580599784851
CV,7,0.5653263032436371,0.6160539215686275,0.6382575631141663,0.4649350643157959,0.5858585834503174,0.7219512462615967,0.7563492059707642,0.6069930195808411,0.5711110830307007,0.3928571343421936,0.6272727251052856,0.6709677577018738
CV,8,0.5537928144137064,0.6352328431372549,0.6161616444587708,0.5233766436576843,0.5404040217399597,0.7737804651260376,0.7579365372657776,0.5846154093742371,0.6822222471237183,0.37337663769721985,0.63246750831604,0.7006451487541199
CV,9,0.5586861968040466,0.6488970588235294,0.6388888955116272,0.5181818008422852,0.5797979831695557,0.7317073345184326,0.7341269850730896,0.6244755387306213,0.6911110877990723,0.3928571343421936,0.6480519771575928,0.6735484004020691
CV,10,0.5572038193543752,0.6403186274509803,0.6767676472663879,0.5272727012634277,0.5595959424972534,0.742682933807373,0.7658730149269104,0.6041958332061768,0.6177777647972107,0.3928571343421936,0.635064959526062,0.7167741656303406
CV,11,0.5520684619744619,0.6386029411764705,0.6527777910232544,0.5974025726318359,0.6050505042076111,0.7487804889678955,0.7468253970146179,0.6097902059555054,0.5888888835906982,0.3928571343421936,0.6545454263687134,0.6922580599784851
CV,12,0.5453735490640005,0.6250612745098039,0.6281565427780151,0.5701298713684082,0.6343434453010559,0.752439022064209,0.7317460179328918,0.5678321719169617,0.699999988079071,0.399350643157959,0.6259739995002747,0.7270967960357666
CV,13,0.5534446934858958,0.6191789215686274,0.6622474789619446,0.5428571701049805,0.5898990035057068,0.7213414907455444,0.7492063641548157,0.5867133140563965,0.6111111044883728,0.41233766078948975,0.6389610171318054,0.7225806713104248
CV,14,0.557147741317749,0.6293504901960785,0.6470959782600403,0.5454545617103577,0.5747475028038025,0.747560977935791,0.7611111402511597,0.5825175046920776,0.6311110854148865,0.3571428656578064,0.633766233921051,0.6800000071525574
CV,15,0.5653404891490936,0.6353553921568628,0.6306818127632141,0.5740259885787964,0.5676767826080322,0.7329268455505371,0.7642857432365417,0.6111888289451599,0.597777783870697,0.41233766078948975,0.6376623511314392,0.6670967936515808
CV,16,0.5467405120531718,0.6396446078431373,0.6546717286109924,0.5467532277107239,0.6696969866752625,0.745121955871582,0.7785714268684387,0.570629358291626,0.7200000286102295,0.41558441519737244,0.6311688423156738,0.6916128993034363
CV,17,0.5481384595235189,0.6266544117647058,0.6401515007019043,0.583116888999939,0.521212100982666,0.742682933807373,0.7222222089767456,0.5916084051132202,0.644444465637207,0.399350643157959,0.6064935326576233,0.7032257914543152
CV,18,0.5458385149637858,0.6352328431372549,0.6426767706871033,0.5272727012634277,0.5939394235610962,0.7792682647705078,0.7730158567428589,0.5622377395629883,0.6577777862548828,0.40909090638160706,0.635064959526062,0.7161290049552917
CV,19,0.5403786500295004,0.6450367647058824,0.6376262903213501,0.5402597188949585,0.6212121248245239,0.7439024448394775,0.7444444298744202,0.6356643438339233,0.6555555462837219,0.4707792103290558,0.6376623511314392,0.6967741847038269
TEST,0,0.5644331276416779,0.5899038461538462,0.6240000128746033,0.5232558250427246,0.6240601539611816,0.7736625671386719,0.6497326493263245,0.8128342032432556,0.16500000655651093,0.5182926654815674,0.5,0.7027649879455566
TEST,1,0.558308869600296,0.6192307692307693,0.6740000247955322,0.5348837375640869,0.5714285969734192,0.7674897313117981,0.6363636255264282,0.7647058963775635,0.12999999523162842,0.5,0.5726495981216431,0.7327188849449158
TEST,2,0.5651372373104095,0.6129807692307692,0.6800000071525574,0.5,0.597744345664978,0.7078189253807068,0.6122994422912598,0.7352941036224365,0.20499999821186066,0.6463414430618286,0.5427350401878357,0.7096773982048035
TEST,3,0.5739009380340576,0.6152644230769231,0.6520000100135803,0.5,0.45864662528038025,0.7386831045150757,0.644385039806366,0.7807486653327942,0.10000000149011612,0.5670731663703918,0.5256410241127014,0.6751152276992798
TEST,4,0.5757312178611755,0.5913461538461537,0.6740000247955322,0.39534884691238403,0.5639097690582275,0.7304526567459106,0.6122994422912598,0.7352941036224365,0.17499999701976776,0.45121949911117554,0.504273533821106,0.6981566548347473
TEST,5,0.5684754848480225,0.6145432692307692,0.7120000123977661,0.4883720874786377,0.5375939607620239,0.7777777910232544,0.5882353186607361,0.7941176295280457,0.13500000536441803,0.396341472864151,0.5384615659713745,0.7119815945625305
TEST,6,0.5448057949542999,0.630048076923077,0.7160000205039978,0.569767415523529,0.6090225577354431,0.7304526567459106,0.606951892375946,0.7540106773376465,0.19499999284744263,0.7560975551605225,0.5427350401878357,0.7465437650680542
TEST,7,0.5487024933099747,0.6183894230769231,0.6759999990463257,0.604651153087616,0.597744345664978,0.7572016716003418,0.596256673336029,0.7647058963775635,0.17000000178813934,0.5548780560493469,0.55982905626297,0.7304147481918335
TEST,8,0.5593902766704559,0.6099759615384616,0.7020000219345093,0.4767441749572754,0.5751879811286926,0.748971164226532,0.5989304780960083,0.7754010558128357,0.13500000536441803,0.6707317233085632,0.4829059839248657,0.6820276379585266
TEST,9,0.5673547089099884,0.6169471153846153,0.6740000247955322,0.5465116500854492,0.6278195381164551,0.7448559403419495,0.606951892375946,0.7513368725776672,0.125,0.5975610017776489,0.5085470080375671,0.7373272180557251
TEST,10,0.5660557746887207,0.6052884615384615,0.6420000195503235,0.44186046719551086,0.6691729426383972,0.7181069850921631,0.6657754182815552,0.759358286857605,0.1850000023841858,0.5487805008888245,0.5,0.7211981415748596
TEST,11,0.5779796838760376,0.6137019230769232,0.7059999704360962,0.604651153087616,0.5526315569877625,0.7037037014961243,0.5748662948608398,0.759358286857605,0.20499999821186066,0.4268292784690857,0.5128205418586731,0.7096773982048035
TEST,12,0.5642223656177521,0.6091346153846153,0.6859999895095825,0.5348837375640869,0.567669153213501,0.7860082387924194,0.6283422708511353,0.7700534462928772,0.1599999964237213,0.6524389982223511,0.5128205418586731,0.6728110313415527
TEST,13,0.5580698251724243,0.6347355769230769,0.6919999718666077,0.4651162922382355,0.6541353464126587,0.7695473432540894,0.5935828685760498,0.7834224700927734,0.23499999940395355,0.7134146094322205,0.4572649598121643,0.7211981415748596
TEST,14,0.5556852072477341,0.6007211538461539,0.7239999771118164,0.4767441749572754,0.5827067494392395,0.7674897313117981,0.5588235259056091,0.7245989441871643,0.1599999964237213,0.5792682766914368,0.5683760643005371,0.7004608511924744
TEST,15,0.5552679300308228,0.612139423076923,0.6959999799728394,0.5116279125213623,0.548872172832489,0.7530864477157593,0.5882353186607361,0.7540106773376465,0.1850000023841858,0.6585366129875183,0.47863247990608215,0.7211981415748596
TEST,16,0.5674188435077667,0.6268028846153846,0.6499999761581421,0.4767441749572754,0.5150375962257385,0.7530864477157593,0.6550801992416382,0.7834224700927734,0.14000000059604645,0.6280487775802612,0.44871795177459717,0.725806474685669
TEST,17,0.5658547282218933,0.6330528846153847,0.6840000152587891,0.5,0.6804511547088623,0.7366254925727844,0.6631016135215759,0.6925133466720581,0.18000000715255737,0.6829268336296082,0.5128205418586731,0.6912442445755005
TEST,18,0.5393079519271851,0.6192307692307693,0.6660000085830688,0.4651162922382355,0.6691729426383972,0.7551440596580505,0.6096256971359253,0.7967914342880249,0.20000000298023224,0.6829268336296082,0.5470085740089417,0.7419354915618896
TEST,19,0.5666406750679016,0.6106971153846154,0.671999990940094,0.569767415523529,0.597744345664978,0.7119341492652893,0.596256673336029,0.6871657967567444,0.14000000059604645,0.7134146094322205,0.5256410241127014,0.7165898680686951
